name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_G21,167.74624233100178,0.2424068405547679,23,0.05,0.9987602077548988,6,C,74.81015742723278,56.51169868426173,1.313428460781246,0.2139685430604351,0.931749533086006,81.33196090634677,0.9198125385588108,0.882683601546683,0.1937784523529206,1.20438160154119,1.2737356594067004,0.8461236453462805,0.9081434684783832,0.1465896143645992,7,4,large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; systematic_residuals,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True
LVM-30Dor-6563_G22,167.09224529357766,0.2424068405547679,24,0.0434782608695652,0.5316980514015178,6,C,13.378055389633031,9.631181668798444,1.7187713430597644,0.0242406888258213,0.6365626237703884,81.33287519481166,0.1644852140981048,0.1000000196790838,0.1559724935938949,0.0565179411867256,0.0700233819015715,13.650677907255709,1.2560872544409931,0.2211413216295561,5,4,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_G23,168.05896768728496,0.2424068405547679,26,0.0661249999999999,0.976380171635592,11,D,8.638114455416119,17.800002270585647,1.424666865984395,0.3636102608283323,0.8299971329944537,81.33232681552553,0.1062076396143038,1.4999999999842428,0.092880853877943,0.1804886945049371,0.1615575156870731,0.9074955811935402,4.838527192727738,0.4945175439813101,9,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G24,166.44138018612526,0.2424068405547679,22,0.0874503124999999,0.7789215786083772,11,D,12.217719850642622,54.4684423333905,1.518595242904182,0.3636102603022927,1.3550490301941632e-10,81.3323655349267,0.1502196545039126,1.4999999978141738,4.40739021512124e-12,0.1853490729257499,0.1376086866846218,0.906598967562403,60623896001.40561,0.4457690072901075,6,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G25,166.78231635824375,0.2424068405547679,26,0.1005678593749999,0.838511994603232,12,D,32.68090910446702,176.80279999272918,1.045605911805797,0.3636102530195676,9.126180069059347e-10,81.33251002968036,0.401818523644984,1.499999967770776,3.332760392616645e-11,3.752360733136694,2.0828126674667047,0.903168393898375,14370302240.458525,0.2972924500779441,4,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_G26,166.39709052194382,0.2424068405547679,26,0.05,0.9977340930423414,11,D,8.983409120025525,254.0202192246305,1.5728960085203605,0.3636101930830206,10.625708991372994,81.33381368858203,0.1104510991507417,1.4999997205147713,0.0834821102306106,0.1010137309270704,0.1084378207289318,0.9065517203573688,3.164594053313728,0.352792385689487,8,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G27,166.79864348468766,0.2424068405547679,26,0.1005678593749999,0.9224422186002506,13,D,15.404475009594943,184.70513703107804,1.033133228540507,0.3636102606268933,0.0001033286334433,81.3325520377547,0.189401102309493,1.499999999153247,1.7893286685671976e-06,0.8759970340735553,0.3463565920430457,0.9069741592163068,378374.60950046533,0.4702579660722508,5,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G28,167.03690176842338,0.2424068405547679,26,0.152951143126953,0.9330639134738402,10,D,11.618949632642954,214.155696288177,1.999999995548553,0.0242406851807661,12.404454112102696,81.332525996616,0.1428573561471136,0.1000000046421519,0.139642870257775,0.1798814737653235,0.1490576378757696,13.66578895439924,1.482288834459254,0.4355002995419494,6,6,m_near_bound; s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; systematic_residuals,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True
LVM-30Dor-6563_G29,165.806363358351,0.2424068405547679,26,0.1156530382812499,0.7874348164049012,13,D,3.8017590913725527,42.83507718465496,1.1040226314825443,0.3636102595666015,0.000270827366314,81.33183456286872,0.0467438010196835,1.4999999947792295,7.223826185049152e-06,1.1824119109603004,0.4709961283098385,0.9064617984740536,128234.82324660334,0.8578612150346336,6,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G3,163.0483642707714,0.2424068405547679,26,0.0874503124999999,0.9926345132451164,7,D,8.762173280504319,24.283932843624136,1.675854116817293,0.0242406844023092,13.395666251034651,81.3325053011135,0.1077327354919725,0.1000000014307866,0.4447246519930622,0.2433888730473528,0.309073471759889,13.651278415680288,0.8893427812149641,0.5646529218563292,7,4,s0_near_bound; large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
