x,y
0.0,1.8059076600836
0.05,
0.1,
0.15000000000000002,2.8641747133510385
0.2,
0.25,
0.30000000000000004,2.8469567954998674
0.35000000000000003,
0.4,
0.45,2.8524559236385842
0.5,2.9959133142120664
0.55,3.1000613256510388
0.6000000000000001,2.9569344308478067
0.65,3.0591000710936838
0.7000000000000001,3.1261044552544948
0.75,3.070816447721767
0.8,3.14156153825189
0.8500000000000001,3.2168782702868217
0.9,3.2371543900169613
0.9500000000000001,3.2857995819008137
1.0,3.360661803764547
1.05,3.4200964129581823
1.1,3.4537114724992315
1.1500000000000001,3.5803915693715465
1.2000000000000002,3.670956085267301
1.25,3.778656739011035
1.3,3.885533338821636
1.35,3.993110827834355
1.4000000000000001,4.098331043238544
1.4500000000000002,4.275717536049932
1.5,4.455437775495885
1.55,4.631181601371937
1.6,4.853376941577111
1.6500000000000001,5.0951439562364875
1.7000000000000002,5.352786169481681
1.75,5.675896505224869
1.8,6.018457168976948
1.85,6.397403486350067
1.9000000000000001,6.828339308453636
1.9500000000000002,7.299154896677759
2.0,7.802391994082111
2.0500000000000003,8.355016606630715
2.1,8.930642706935998
2.15,9.543901665640629
2.2,10.202423917517917
2.25,10.925683679391122
2.3000000000000003,11.695632879618397
2.35,12.484827981435203
2.4000000000000004,13.291652165153849
2.45,14.107411127580956
2.5,14.955421988805233
2.5500000000000003,15.755740685298557
2.6,16.50009366542628
2.6500000000000004,17.106261655549243
2.7,17.522050131219597
2.75,18.072486833295866
2.8000000000000003,18.724531731754993
2.85,19.00721455685025
2.9000000000000004,19.02033110529848
2.95,18.80450979742349
3.0,17.78646310227932
3.0500000000000003,17.11649761151019
3.1,16.166968261667108
3.1500000000000004,15.62683842460346
3.2,15.622049271911715
3.25,15.679036625114017
3.3000000000000003,13.190623237527264
