x,y
0.0313905868587222, 0.16615223224192555
0.056703786640844134, 0.2024501200346993
0.08590550545703968, 0.24133531037543654
0.1073251427303355, 0.2724485061227784
0.13651677459702632, 0.30613891746857913
0.16182997437914826, 0.3424368052613529
0.1929482136012427, 0.36833000463999666
0.2162944582299421, 0.39164598842018195
0.24158244063830214, 0.41495692872561474
0.26881720430107525, 0.4408602150537635
0.2960519679638483, 0.46676350138191214
0.32134499384696086, 0.49267183118481306
0.34468619500090775, 0.5133904254675301
0.373852609493837, 0.53409388932599
0.39719381064778386, 0.5548124836087069
0.426360225140713, 0.5755159474671669
0.45164316407432065, 0.5962294982751315
0.4788577538380843, 0.6117432266134075
0.504140692771692, 0.6324567774213721
0.5333020637898687, 0.6505628517823638
0.5566432649438158, 0.6712814460650809
0.5838628981823317, 0.689392563900825
0.609140793641187, 0.7075087252113215
0.6383021646593638, 0.7256147995723132
0.661633278863806, 0.7411386148600938
0.6907795194577255, 0.7514525207286811
0.7160422844923238, 0.7617765135467731
0.7451834816114911, 0.769493029917892
0.7684944219169239, 0.7746272872158001
0.7956888377816782, 0.7797514575642033
0.8209364723920192, 0.7822832818898907
0.8500625390869294, 0.7822076297686051
0.8753152171720229, 0.7873368435917608
0.9024945026125202, 0.7846688454477595
0.9277370937481089, 0.7846032802759788
0.9549214226633582, 0.7845326716294456
0.9801640137989469, 0.7844671064576649
1.0092951239686094, 0.7869888438338475
1.0325959773245375, 0.7869283221368192
