L,sig,siger
41.14,32.5,1.2
40.47,25.7,1.2
40.85,31.7,2.6
41.37,41.1,1.4
39.55,18,1.6
40.98,37.7,2.4
40.43,27.7,1.2
39.91,23.8,1.2
41.65,36.7,1.7
39.68,28.8,5.1
40.12,24.9,2
39.78,18.7,1.6
