sig,L
9.359,38.111
12.866,38.299
15.498,38.671
12.625,38.898
15.681,39.053
12.977,39.114
8.395,39.077
5.756,39.033
3.213,39.292
10.860,39.631
14.087,39.820
15.379,39.739
