sig,D
1.95478,2.86123
2.05353,4.10376
2.23428,3.39848
2.23974,3.61774
2.2564,4.05067
2.26611,3.88557
2.30558,4.02992
2.31235,4.36168
2.37524,4.27072
2.42118,3.97167
2.42371,4.43927
2.43939,4.03783
2.45246,4.41139
2.45719,4.06847
2.46778,4.22886
2.48349,4.33038
2.49678,4.47318
2.5012,4.60362
2.5326,4.3037
2.53725,4.20339
2.56992,4.51301
2.57054,4.5663
2.59429,4.60913
2.60522,4.79913
2.62352,4.62269
2.62727,4.4454
2.62973,4.90708
2.68432,4.85114
