x,S-1
16.274,0.7975
22.912,1.0978
29.869,1.3471
36.615,1.5804
43.026,1.7288
49.033,1.9587
56.304,2.1108
63.179,2.1965
68.745,2.2182
75.957,2.1957
81.078,2.1953
89.583,2.1622
95.625,2.2056
102.077,2.2725
108.55,2.365
115.87,2.4246
124.64,2.4242
133.54,2.3758
144.19,2.2594
149.23,2.0959
157.46,1.9734
162.97,1.8582
173.94,1.715
177.98,1.6558
184.22,1.5749
192.88,1.5054
201.19,1.4607
211.48,1.4532
222.32,1.5277
232.81,1.5979
246.64,1.7483
255.35,1.894
264.35,2.0313
274.72,2.1461
284.41,2.3483
