x,S
1.2942,2.9441
4.736,3.0932
8.6324,3.207
12.864,3.2475
17.262,3.1758
21.894,3.1412
26.566,3.1792
31.591,3.2175
36.375,3.1452
41.716,3.2949
46.697,3.2206
52.274,3.3351
57.581,3.2976
62.665,3.186
68.473,3.2237
73.921,3.0435
79.481,3.1514
85.116,3.0446
91.15,3.1524
96.828,3.1167
102.86,3.1172
108.829,3.1904
115.144,3.1909
120.362,3.2658
126.83,3.2662
133.12,3.3817
138.03,3.4213
145.46,3.5834
151.44,3.7531
158.3,3.306
