x,S
1.2923,1.5383
4.7363,2.2214
8.6362,1.9134
12.874,1.9804
17.281,2.0033
21.923,2.0264
26.605,2.0264
31.644,2.1217
36.586,2.0264
41.794,2.0735
46.787,1.9355
52.593,2.0033
57.706,2.0735
63.059,2.0498
68.355,2.0264
74.398,2.0975
79.996,2.0033
85.674,2.0498
91.75,1.9804
97.869,2.0735
102.72,2.0498
108.683,1.9804
114.535,2.0264
121.183,1.9578
127.2,2.0498
133.51,2.1462
139.01,2.2214
145.3,2.0975
151.28,2.0498
158.15,2.1217
