x,S
1.2939,1.8621
4.7487,2.2387
8.6162,2.5119
12.835,2.5119
17.289,2.6002
21.748,2.6303
26.49,2.4831
31.496,2.4547
36.261,2.4831
41.413,2.4266
46.541,2.3988
52.093,2.3442
57.609,2.2387
62.691,2.138
67.947,2.0893
73.643,2.138
79.177,2.0417
85.128,2.0417
90.791,1.9724
96.831,1.9498
102.033,1.8836
108.384,1.7989
114.207,1.6982
119.859,1.6406
125.79,1.6032
131.49,1.5136
137.99,1.3964
143.66,1.349
150.77,1.2882
157.6,1.1885
