sig,D
0.88855,1.165
0.91764,1.16672
0.99577,1.13584
1.00899,1.27272
1.01916,1.39758
1.0405,1.23317
1.0551,1.48847
1.11295,1.21378
1.14641,1.0915
1.15402,1.2458
1.15936,1.2047
1.21674,1.64004
1.24547,1.86068
1.24998,1.74852
1.25862,0.99163
1.2794,2.02837
1.28343,0.87476
1.28861,2.07033
1.32472,1.67602
1.33496,1.8068
1.33854,2.11471
1.40886,1.91177
1.40968,1.98282
1.50768,2.16022
