x,S
0.0407,121.879
0.2034,149.206
0.3458,148.405
0.4678,154.124
0.5288,143.125
0.6508,162.295
0.8339,150.493
1.0169,145.62
1.1797,155.419
1.3424,173.778
1.5051,172.572
1.7085,173.408
1.8712,187.283
2.0339,216.24
2.2373,201.587
2.4203,195.899
2.7661,202.456
3.0915,189.445
3.4373,196.002
3.7831,211.119
4.1085,193.625
4.4136,204.662
4.8,183.098
5.4915,196.212
