x,Curve1
0.05495,54.481
0.11111,100.63
0.14254,117.82
0.2669,111.88
0.3826,136.83
0.5349,125.65
0.7057,124.41
0.8055,129.93
0.8892,137.44
1.0619,130.06
1.3395,128.51
1.5774,162.12
2.1733,163.71
2.7394,174.74
3.1949,192.15
3.768,205.94
4.16,216.9
4.799,235.45
5.242,242.71
6.108,290.81
6.38,294.99
7.437,302.28
8.403,323.18
9.362,379.45
10.009,343.84
10.385,445.51
10.525,281.28
11.115,232.08
11.77,227.82
13.242,156.95
