filename,object,date_obs,mjd_obs,instrument,telescope,arcfile,prog_id,pro_catg,dpr_catg,dpr_type,dpr_tech,ra_deg,dec_deg
ADP.2019-01-31T23_53_45.717.fits,t16,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.717.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6127083333319,-69.1777499999989
ADP.2019-01-31T23_53_45.721.fits,t38,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.721.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7061249999986,-69.1777499999989
ADP.2019-01-31T23_53_45.725.fits,t38,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.725.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5971249999985,-69.1333055555544
ADP.2019-01-31T23_53_45.729.fits,t03,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.729.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4413749999986,-69.1221944444433
ADP.2019-01-31T23_53_45.745.fits,t28,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.745.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6438333333319,-69.1777499999989
ADP.2019-01-31T23_53_45.749.fits,t33,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.749.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5659583333319,-69.0555277777766
ADP.2019-01-31T23_53_45.761.fits,t55,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.761.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7217083333319,-69.1666388888877
ADP.2019-01-31T23_53_45.773.fits,t01,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.773.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4413749999986,-69.1777499999989
ADP.2019-01-31T23_53_45.777.fits,u02,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.777.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7217083333319,-69.0888611111099
ADP.2019-01-31T23_53_45.781.fits,t34,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.781.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5971249999985,-69.0555277777766
ADP.2019-01-31T23_53_45.785.fits,pos035,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.785.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6383333333319,-69.1146111111099
ADP.2019-01-31T23_53_45.802.fits,t02,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.802.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4413749999986,-69.1333055555544
ADP.2019-01-31T23_53_45.814.fits,pos050,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.814.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8030833333319,-69.1253055555544
ADP.2019-01-31T23_53_45.823.fits,pos057,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.823.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8628333333319,-69.0949722222211
ADP.2019-01-31T23_53_45.828.fits,u24,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.828.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8462916666652,-69.0777499999988
ADP.2019-01-31T23_53_45.832.fits,pos107,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.832.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4204583333319,-69.1164722222211
ADP.2019-01-31T23_53_45.837.fits,pos034,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.837.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5162499999986,-69.1184999999988
ADP.2019-01-31T23_53_45.842.fits,u19,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.842.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8462916666652,-69.1444166666655
ADP.2019-01-31T23_53_45.846.fits,t12,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.846.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5504166666652,-69.1777499999989
ADP.2019-01-31T23_53_45.850.fits,pos044,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.850.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7532083333319,-69.1358888888877
ADP.2019-01-31T23_53_45.859.fits,pos095,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.859.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4573333333319,-69.1796388888877
ADP.2019-01-31T23_53_45.864.fits,t18,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.864.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6127083333319,-69.1666388888877
ADP.2019-01-31T23_53_45.868.fits,pos021,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.868.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5907916666652,-69.0497777777766
ADP.2019-01-31T23_53_45.873.fits,t41,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.873.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6905416666652,-69.0888611111099
ADP.2019-01-31T23_53_45.877.fits,t13,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.877.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4725416666653,-69.1444166666655
ADP.2019-01-31T23_53_45.889.fits,t47,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.889.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6594166666653,-69.1666388888877
ADP.2019-01-31T23_53_45.893.fits,pos038,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.893.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7397083333319,-69.1387499999988
ADP.2019-01-31T23_53_45.898.fits,pos062,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.898.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7745833333319,-69.0902222222211
ADP.2019-01-31T23_53_45.907.fits,pos077,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.907.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5721666666652,-69.1583611111099
ADP.2019-01-31T23_53_45.912.fits,pos003,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.912.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7138749999986,-69.0833055555544
ADP.2019-01-31T23_53_45.917.fits,u04,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.917.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8618749999986,-69.1777499999989
ADP.2019-01-31T23_53_45.921.fits,pos036,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.921.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6720833333319,-69.1262777777766
ADP.2019-01-31T23_53_45.930.fits,t55,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.930.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6905416666652,-69.1221944444433
ADP.2019-01-31T23_53_45.953.fits,t02,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.953.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4413749999986,-69.1555277777766
ADP.2019-01-31T23_53_45.969.fits,t58,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.969.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7684166666652,-69.0221944444433
ADP.2019-01-31T23_53_45.981.fits,pos055,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.981.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8590833333319,-69.1115555555544
ADP.2019-01-31T23_53_45.986.fits,t53,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.986.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6905416666652,-69.0333055555544
ADP.2019-01-31T23_53_45.994.fits,t56,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.994.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7217083333319,-69.1555277777766
ADP.2019-01-31T23_53_45.998.fits,u27,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:45.998.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8151249999986,-69.0555277777766
ADP.2019-01-31T23_53_46.002.fits,t44,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.002.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7372916666652,-69.1777499999989
ADP.2019-01-31T23_53_46.006.fits,pos050,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.006.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8030833333319,-69.1253055555544
ADP.2019-01-31T23_53_46.011.fits,u13,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.011.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8151249999986,-69.0777499999988
ADP.2019-01-31T23_53_46.015.fits,pos011,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.015.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6347499999986,-69.0880277777766
ADP.2019-01-31T23_53_46.028.fits,pos031,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.028.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5036249999986,-69.1027499999988
ADP.2019-01-31T23_53_46.033.fits,u07,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.033.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7528333333319,-69.1333055555544
ADP.2019-01-31T23_53_46.037.fits,t06,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.037.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4880833333319,-69.0666388888877
ADP.2019-01-31T23_53_46.057.fits,pos103,2003-12-03T08:13:17.621,52976.34256507,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.057.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7196249999986,-69.20511111111
ADP.2019-01-31T23_53_46.082.fits,t40,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.082.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7061249999986,-69.099972222221
ADP.2019-01-31T23_53_46.086.fits,t11,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.086.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.4725416666653,-69.0444166666655
ADP.2019-01-31T23_53_46.090.fits,t57,2003-12-03T05:54:18.706,52976.24604984,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.090.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.7528333333319,-69.0221944444433
ADP.2019-01-31T23_53_46.094.fits,pos011,2003-12-03T07:36:20.171,52976.31690013,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.094.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6347499999986,-69.0880277777766
ADP.2019-01-31T23_53_46.099.fits,u22,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.099.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8462916666652,-69.099972222221
ADP.2019-01-31T23_53_46.103.fits,t51,2003-12-03T01:44:39.244,52976.07267644,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.103.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.6594166666653,-69.0555277777766
ADP.2019-01-31T23_53_46.107.fits,pos112,2003-12-03T06:59:35.192,52976.29137954,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.107.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5739999999986,-69.1873888888877
ADP.2019-01-31T23_53_46.116.fits,t35,2003-12-03T03:42:56.961,52976.15482594,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.116.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.5971249999985,-69.0444166666655
ADP.2019-01-31T23_53_46.120.fits,u09,2003-12-03T06:23:27.943,52976.26629564,GIRAFFE,ESO-VLT-U2,ADP.2019-01-31T23:53:46.120.fits,072.C-0348(A),SCIENCE_RBNSPEC_STACK,,,,84.8774583333319,-69.1221944444433
