pc,S
0.019,1.547
0.058,1.969
0.098,3.046
0.137,4.1
0.173,4.805
0.214,6.093
0.256,6.097
0.294,6.222
0.324,6.349
0.372,7.293
0.411,7.441
0.453,7.898
0.491,6.616
0.521,6.238
0.576,6.118
0.611,6.12
0.674,6.123
0.73,6.371
0.773,6.895
0.789,7.173
0.886,8.57
0.905,7.921
0.962,6.379
1.064,5.344
