pc,S
0.03,53.67
0.04,58.31
0.05,68.84
0.06,84.71
0.07,100
0.1,113.25
0.14,133.7
0.2,133.7
0.37,139.36
0.56,133.7
0.92,133.7
2.03,128.26
5.71,128.26
14.24,133.7
18.17,139.36
21.81,145.27
26.18,164.52
