pc,S
0.01,43.77
0.02,45.69
0.03,68.14
0.04,111.1
0.05,113.44
0.07,132.38
0.1,129.25
0.14,120.68
0.19,107.77
0.27,100.63
0.37,107.43
0.5,112.16
0.73,100.15
1,106.92
1.41,104.39
2.71,101.76
3.93,116.12
5.37,158.42
