pc,S
0.02,15.84
0.06,21.39
0.1,23.66
0.13,24.17
0.17,28.33
0.21,25.69
0.25,24.23
0.29,26.24
0.33,28.41
0.37,28.42
0.41,29
0.45,30.18
0.48,32.66
0.52,37.51
0.59,36.08
0.61,35.38
0.69,34.03
0.73,34.04
0.76,34.72
0.79,32.09
0.84,37.58
0.87,42.31
0.92,48.58
0.94,51.55
1,62.8
1.02,44.92
1.05,132.85
