pc,S
2.49,300.32
7.52,398.19
12.66,458.5
17.46,503.7
22.66,553.36
27.69,553.36
32.52,527.95
37.42,527.95
43.06,527.95
47.6,503.7
52.63,480.57
58.18,458.5
63.04,458.5
68.31,437.44
72.54,437.44
78.6,417.35
83.48,417.35
88.66,417.35
92.29,417.35
98.01,417.35
104.09,398.19
108.36,379.9
112.79,362.45
117.41,345.81
122.22,329.93
127.22,314.77
132.43,286.53
143.49,260.81
149.37,237.41
