pc,S
0.011,38.511
0.012,49.396
0.015,63.358
0.018,77.964
0.024,100
0.029,118.052
0.039,118.052
0.056,123.052
0.071,128.265
0.096,145.265
0.131,145.265
0.167,145.265
0.2,139.362
0.272,151.419
0.416,157.833
0.918,164.519
1.495,157.833
2.154,157.833
2.749,171.488
3.3,186.325
3.507,178.753
4.211,164.519
4.475,157.833
