pc,S
0.006764855,6.55
0.011376878,10.99
0.015627856,17.5
0.020484331,20.98
0.024526753,22.68
0.0293511,22.7
0.033576439,22.14
0.038437651,23.93
0.042995109,23.34
0.04702548,22.75
0.052610622,22.77
0.056285372,23.37
0.06157263,23.38
0.065861532,23.38
0.072087164,25.27
0.078858789,25.28
0.09021118,24.66
0.100925421,24.67
0.107974866,25.32
0.120755497,24.06
0.138114471,22.87
0.15451811,22.88
0.180807179,22.9
0.206798768,21.76
0.226021726,19.14
0.276023934,14.07
0.308031523,9.81
0.328188705,5.57
