pc,S
0.019,3.541
0.058,7.235
0.097,7.693
0.135,10.56
0.175,11.439
0.213,11.449
0.254,11.234
0.298,12.164
0.329,11.47
0.371,10.817
0.409,10.2
0.452,9.066
0.49,8.548
0.53,8.551
0.563,8.223
0.621,8.557
0.686,8.23
0.727,8.396
0.756,9.267
0.802,9.269
0.838,6.25
0.891,5.34
0.928,4.745
0.95,3.137
0.988,3.395
