pc,S
2,85
3,95
4,108
5,125
6,133
7,142
8,151
9,158
10,168
11,176
12,176
13,182
14,183
15,191
16,201
17,205
18,210
19,218
20,229
21,236
22,244
23,257
24,265
25,272
26,275
27,277
28,277
29,278
30,278

