pc,S
0.056,54.962
0.112,100.486
0.148,116.869
0.273,110.874
0.393,134.637
0.549,123.614
0.705,122.347
0.833,129.144
0.932,133.404
1.101,127.827
1.415,126.516
1.672,160.328
2.209,160.409
2.685,173.009
3.263,190.654
3.856,203.421
4.311,212.403
4.955,229.064
5.539,239.179
6.022,284.121
6.547,287.236
7.525,299.934
8.412,319.986
8.894,313.209
9.67,376.084
10.224,337.778
10.512,437.246
11.115,278.383
11.429,229.408
12.083,226.978
13.508,154.156
