pc,S
2.129,29.785
3.548,40.92
5.057,47.046
6.403,53.007
7.797,56.284
9.133,56.322
10.697,56.36
11.801,59.819
13.287,59.85
14.959,59.88
16.19,59.9
17.525,58.751
18.971,57.624
20.118,61.15
21.773,61.17
23.093,63.646
24.983,66.228
27.578,66.256
31.024,71.729
33.549,77.64
35.555,87.41
39.216,94.622
41.629,90.987
44.244,77.732
47.874,79.306
50.705,94.726
