name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_A,501.7373646962921,0.2424068405547679,37,0.1330009940234374,0.9667983778782816,6,C,12.977302934482754,63.6622872838354,1.7296028145288245,0.0242407218429093,4.9622641169126505,229.22607304948664,0.056613555176514,0.1000001558843491,0.3120162572207181,0.1278013647430957,0.0966828157172024,13.643787679286056,1.2699889208857682,0.2921336934440599,16,4,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_B1,497.3761886097826,0.2424068405547679,37,0.0574999999999999,0.9376411524259156,9,D,31.46244110020005,28.88980328576327,1.0186186487060045,0.3636102586385226,1.5639045389909266e-10,229.22608813847523,0.1372550627012123,1.4999999909506292,4.0784908097899775e-11,0.1335880170364305,0.0784387942108194,0.8674954943200351,4387062729.485361,0.0925344200366651,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B2,499.33086570882034,0.2424068405547679,37,0.0760437499999999,0.9760339578601864,10,D,22.343405528614575,23.57374354100832,0.8054044852777569,0.3636102604764064,1.785008115816306e-10,229.22607605936497,0.0974732277964226,1.4999999985324444,2.973013426702848e-11,0.4351527086653527,0.1402975472335052,0.8805867609261734,9129970470.93081,0.1503205556466905,11,7,sig2_near_bound; s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B3,502.7754636594089,0.2424068405547679,37,0.0661249999999999,0.9011324014333456,9,D,21.71573803101156,45.94684610091892,1.1309624255288662,0.3636102601581422,1.9558694460589304e-10,229.22607879945068,0.0947350238015919,1.4999999972195102,2.7809888090834582e-11,0.105154788387309,0.0630153896965449,0.8683251942624696,6062641465.455461,0.1059528798482609,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B4,492.4950666215972,0.2424068405547679,37,0.0874503124999999,0.8448983995274492,9,D,17.530004582588155,111.43948528824656,1.3906262724557583,0.3636102596121854,9.672596490448547e-10,229.22606811578984,0.0764747427143982,1.4999999949672769,8.068516881833748e-11,0.1041746998669624,0.071763459422867,0.8899328150529564,3361875550.249147,0.174906090426204,14,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B5,505.6485364539416,0.2424068405547679,37,0.0574999999999999,0.8321631501170659,9,D,17.541097440289363,137.61383374396178,1.1122667265403674,0.3636102510140227,1.5901904303595118e-06,229.226067413384,0.076523135602444,1.4999999594973097,4.927835297574121e-08,0.0980896422985427,0.0719670859941921,0.8938318036472777,4738744.672784627,0.1601448071879962,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B6,502.902748728156,0.2424068405547679,37,0.1156530382812499,0.8358409453247089,9,D,20.26246677829628,55.32202336773774,0.9988724416956618,0.3636102599201823,4.440329791297442e-07,229.22608422553063,0.0883951180632675,1.4999999962378554,3.191432179193135e-08,0.2340010393431472,0.1112487871098442,0.8972517244422346,10172242.362634206,0.1916465410385202,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B7,499.1696088838833,0.2424068405547679,37,0.1005678593749999,0.7956306935837716,9,D,17.691322248589852,52.58164749382277,0.9918193578325614,0.3636102608056626,4.746960174163947e-11,229.22608430536255,0.0771784864807201,1.4999999998907236,4.037467268401107e-12,0.2728327702721163,0.1112458120584471,0.8838169081559675,66252662821.933365,0.2006644387209608,13,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C1,493.6914052634456,0.2424068405547679,37,0.0328758116215994,0.6009941668507406,7,D,28.87023167751196,102.3546974901335,1.0259237708876685,0.3636102553891637,7.873492594752461,229.2260864422067,0.1259465365639823,1.4999999775460615,0.3293714819899345,0.0678258756184147,0.0558156903355993,0.9098264883831344,0.6907175724810072,0.0823088880401715,11,4,s0_near_bound; large_s0_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C10,504.02789671092734,0.2424068405547679,37,0.05,0.8750117766804256,9,D,14.76284356769224,221.29349166804624,1.1246708926490554,0.3636102602135846,5.169198584225579e-07,229.22607951785105,0.0644029841575796,1.4999999974482268,8.578624346586744e-09,0.0793348123159156,0.0541539325363436,0.8482069353563818,15243990.037430445,0.1175818426472745,12,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
