name,quality_class,quality_score,redchi,r0_over_rfitmax,s0_arcsec,noise_fraction,max_residual_run,n_active_flags,active_flags
LVM-30Dor-6563_C3,D,15,0.8365958656915284,0.0389389098816681,1.499999999963566,0.093848933034414,12,9,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C8,D,13,0.9217408103863376,1.3805102463900147,1.4998272222906008,3.4348920958465375e-11,13,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C11,D,13,0.835504049065795,0.0961313135452529,1.4999999611395294,5.032037757872389e-07,9,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C4,D,13,0.8204203370015518,1.776597845136581,1.4988994695560132,0.2636529400020927,9,8,s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C5,D,12,0.8068618416579646,0.189021313823341,1.4999999993983646,3.6434164912779185e-11,14,8,sig2_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B2,D,10,0.9760339578601864,0.0974732277964226,1.4999999985324444,2.973013426702848e-11,11,7,sig2_near_bound; s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B1,D,9,0.9376411524259156,0.1372550627012123,1.4999999909506292,4.0784908097899775e-11,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B3,D,9,0.9011324014333456,0.0947350238015919,1.4999999972195102,2.7809888090834582e-11,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B4,D,9,0.8448983995274492,0.0764747427143982,1.4999999949672769,8.068516881833748e-11,14,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B5,D,9,0.8321631501170659,0.076523135602444,1.4999999594973097,4.927835297574121e-08,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B6,D,9,0.8358409453247089,0.0883951180632675,1.4999999962378554,3.191432179193135e-08,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_B7,D,9,0.7956306935837716,0.0771784864807201,1.4999999998907236,4.037467268401107e-12,13,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C10,D,9,0.8750117766804256,0.0644029841575796,1.4999999974482268,8.578624346586744e-09,12,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C12,D,9,0.9077263112087596,0.0899269589323975,1.4999999435181146,8.151253163623742e-10,8,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C9,D,9,0.9776233105427669,0.0681454266679321,1.499999924646908,1.2167023707615025e-08,8,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C2,D,9,0.5821603918306765,0.0715351374546945,1.4999999014125345,0.7746016599578517,8,5,s0_near_bound; large_s0_uncertainty; large_s0_arcsec; large_noise_fraction; systematic_residuals
LVM-30Dor-6563_C13,D,8,0.7809239451491373,0.0772235661972129,1.4999999912813522,0.1115518609230459,10,5,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C1,D,7,0.6009941668507406,0.1259465365639823,1.4999999775460615,0.3293714819899345,11,4,s0_near_bound; large_s0_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_A,C,6,0.9667983778782816,0.056613555176514,0.1000001558843491,0.3120162572207181,16,4,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals
