x,y
-1.9794285714285713, -0.4693160813308688
-1.9382857142857142, -0.4395563770794825
-1.8945714285714286, -0.444731977818854
-1.8482857142857143, -0.42273567467652495
-1.8045714285714285, -0.4434380776340111
-1.7222857142857142, -0.43438077634011096
-1.6785714285714286, -0.41626617375231056
-1.6374285714285715, -0.38780036968576714
-1.5937142857142856, -0.38909426987061
-1.5499999999999998, -0.3709796672828097
-1.5062857142857142, -0.36321626617375236
-1.465142857142857, -0.3619223659889094
-1.4214285714285713, -0.3515711645101664
-1.3777142857142857, -0.3140480591497228
-1.334, -0.3192236598890943
-1.2902857142857143, -0.2946395563770795
-1.2465714285714284, -0.27652495378927916
-1.2054285714285715, -0.24935304990757862
-1.1617142857142857, -0.23382624768946397
-1.1179999999999999, -0.22865064695009252
-1.0768571428571427, -0.20665434380776343
-1.0357142857142858, -0.19112754158964884
-0.9945714285714287, -0.17430683918669138
-0.9508571428571428, -0.15748613678373385
-0.9019999999999999, -0.13419593345656197
-0.8634285714285714, -0.11478743068391875
-0.8248571428571427, -0.09279112754158972
-0.7785714285714285, -0.07855822550831801
-0.7348571428571429, -0.06561922365988918
-0.6937142857142857, -0.056561922365988976
-0.6474285714285715, -0.05138632162661744
-0.6037142857142856, -0.042329020332717265
-0.5625714285714285, -0.03068391866913131
-0.5188571428571427, -0.0164510166358596
-0.47771428571428576, -0.0009242144177449979
-0.43399999999999994, 0.004251386321626555
-0.3928571428571428, -0.0009242144177449979
-0.35171428571428587, -0.011275415896488061
-0.30285714285714294, -0.017744916820702478
