label,ring,angle_deg,ra_deg,dec_deg,radius_arcsec
A,A,,84.675,-69.1,413.0
B1,B,0.0,84.675,-68.87055555555555,413.0
B2,B,51.42857142857143,85.17457678200343,-68.95621335318485,413.0
B3,B,102.85714285714286,85.30349267645248,-69.14990990843012,413.0
B4,B,154.28571428571428,84.95672363198095,-69.30649355005615,413.0
B5,B,205.71428571428572,84.39327636801904,-69.30649355005615,413.0
B6,B,257.14285714285717,84.04650732354753,-69.14990990843012,413.0
B7,B,308.57142857142856,84.17542321799658,-68.95621335318485,413.0
C1,C,0.0,84.675,-68.64111111111112,413.0
C2,C,27.692307692307693,85.26188762297097,-68.69265463980747,413.0
C3,C,55.38461538461539,85.72108408561246,-68.83610246499526,413.0
C4,C,83.07692307692308,85.94856537340254,-69.03995772310482,413.0
C5,C,110.76923076923077,85.88661332044401,-69.2584844060139,413.0
C6,C,138.46153846153845,85.54156368567139,-69.44133182826769,413.0
C7,C,166.15384615384616,84.9892460606185,-69.54527278864956,413.0
C8,C,193.84615384615387,84.3607539393815,-69.54527278864956,413.0
C9,C,221.53846153846155,83.80843631432862,-69.44133182826769,413.0
C10,C,249.23076923076923,83.463386679556,-69.2584844060139,413.0
C11,C,276.9230769230769,83.40143462659745,-69.03995772310482,413.0
C12,C,304.61538461538464,83.62891591438753,-68.83610246499526,413.0
C13,C,332.3076923076923,84.08811237702902,-68.69265463980747,413.0
D1,D,0.0,84.675,-68.41166666666666,413.0
D2,D,18.94736842105263,85.28341596571615,-68.44785547271184,413.0
D3,D,37.89473684210526,85.83132288129947,-68.55282746281854,413.0
D4,D,56.84210526315789,86.26267321181481,-68.71606457180471,413.0
D5,D,75.78947368421052,86.53058215425105,-68.9209331008171,413.0
D6,D,94.73684210526315,86.60230490131649,-69.14606163708963,413.0
D7,D,113.68421052631578,86.46412556242451,-69.36729988007706,413.0
D8,D,132.6315789473684,86.1252629265754,-69.56020148220226,413.0
D9,D,151.57894736842104,85.61944429800543,-69.70284520832463,413.0
D10,D,170.52631578947367,85.00277227618092,-69.7786421623336,413.0
D11,D,189.4736842105263,84.34722772381907,-69.7786421623336,413.0
D12,D,208.42105263157893,83.73055570199456,-69.70284520832463,413.0
D13,D,227.36842105263156,83.22473707342459,-69.56020148220226,413.0
D14,D,246.3157894736842,82.8858744375755,-69.36729988007706,413.0
D15,D,265.2631578947368,82.74769509868352,-69.14606163708963,413.0
D16,D,284.2105263157895,82.81941784574896,-68.9209331008171,413.0
D17,D,303.1578947368421,83.08732678818518,-68.71606457180471,413.0
D18,D,322.1052631578947,83.51867711870054,-68.55282746281854,413.0
D19,D,341.05263157894734,84.06658403428385,-68.44785547271184,413.0
