name,quality_class,quality_score,redchi,r0_over_rfitmax,s0_arcsec,noise_fraction,max_residual_run,n_active_flags,active_flags
LVM-30Dor-6563_C2,D,14,0.9029754098330984,0.0843758255574936,1.4999999983540873,1.1724035765799873e-08,11,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_D18,D,14,0.9302145776905536,0.9497666824317132,1.4997972044588597,0.0765213930803613,7,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_D4,D,14,0.5568869441455637,0.1453910799926311,1.4999998586261094,0.6171409188577086,6,8,m_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_s0_arcsec; large_noise_fraction; systematic_residuals
LVM-30Dor-6563_C7,D,13,0.7572620439259958,1.1096917879729855,1.49998018204447,6.78701539914144e-10,11,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_D2,D,13,0.9087076234421084,0.1554398966996295,1.4999999935843766,0.020524104431985,7,8,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_D3,D,13,0.8130452419814899,1.1698425059723068,1.499707647079292,0.3064042213264548,11,8,m_near_bound; s0_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_D6,D,13,0.9291927679231716,0.1281014139235011,1.4999999586265795,0.4384552084844875,8,8,sig2_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C10,D,12,0.9011800793087088,0.1904541965934427,1.4999999979181042,2.6380393451843517e-11,11,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C3,D,12,0.8786431430930441,0.5951969384551448,1.4999970853613966,3.9408699267328374e-11,10,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals
LVM-30Dor-6563_C13,D,11,0.8748200575846137,0.0690305385163417,1.4999998301056896,8.44214555240743e-08,7,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals
