name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_A,334.1040198866163,0.2424068405547679,34,0.1758938145959959,0.9501415703197956,9,D,12.532023649758166,99.1378725808725,1.947448594640939,0.0242407130623962,10.88884326051987,162.279628836095,0.0772248725218352,0.1000001196621323,0.4378333186328711,0.15989006925174,0.1419412733110155,13.652762984289314,0.9416295161389042,0.4588872466780207,15,5,m_near_bound; s0_near_bound; large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True
LVM-30Dor-6563_B1,332.72702461325287,0.2424068405547679,34,0.0661249999999999,0.8328388592409104,9,D,21.25307489948718,24.995180004299858,1.1384434450447882,0.3636102585165882,1.1780779430874768e-10,162.27961299753596,0.1309657726371943,1.499999990447614,3.178316210626602e-11,0.1394413197183441,0.081201899276165,0.8612500951076668,5347668928.910225,0.1188992234910437,11,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B2,332.5000343454468,0.2424068405547679,34,0.0574999999999999,0.8673877136009644,9,D,21.36379419843053,22.91694620488861,1.0930909846848471,0.3636102453041487,1.7313854043936194e-07,162.2796422519556,0.1316480237568004,1.4999999359423883,4.8756549886412465e-08,0.1075534269107033,0.0770231250632362,0.8973571944661766,6411771.144360603,0.1353528480520629,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B3,334.5417671854975,0.2424068405547679,34,0.0661249999999999,0.87839547654292,9,D,17.333379943299786,34.048029330868104,1.059599072763294,0.363610257801872,4.5311828372045015e-08,162.27963615272117,0.1068117993990778,1.499999987499198,6.256237743004223e-09,0.1326676989286223,0.0762802485339115,0.8788423926261529,34732681.26154616,0.129689310536613,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B4,335.7375842075643,0.2424068405547679,34,0.1156530382812499,0.8904653937428884,9,D,18.39868996501266,98.0373810592373,1.345868989706262,0.3636102325058262,4.364369455918406e-10,162.27960425304516,0.1133764778987462,1.4999998831455184,3.608722322838884e-11,0.1940384747598109,0.1174860033790099,0.9042508513459212,12478946054.091682,0.279870428865935,13,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B5,335.97777194203223,0.2424068405547679,34,0.0760437499999999,0.9882663699401651,9,D,17.308673499534212,33.82029991587228,1.3029106670711124,0.3636102576146024,1.6202681660728746e-08,162.27964190940688,0.1066595495028072,1.4999999867266554,2.738055624665057e-09,0.10201203584687,0.075353768414241,0.8986587242826881,90003819.28477935,0.1680989300125048,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B6,334.48886594427756,0.2424068405547679,34,0.0874503124999999,0.7636675049364622,9,D,15.84055247989499,28.568076450621497,1.0793945131053788,0.3636102590497529,9.713460950777981e-09,162.27963124234995,0.0976126970379822,1.4999999926470764,1.420072729375999e-09,0.1928958139339811,0.0993093679421305,0.8851910907256882,168209909.567692,0.1833887234075617,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B7,332.12355393420256,0.2424068405547679,34,0.0874503124999999,0.7907029724832646,9,D,21.66690267193131,41.7323522223892,0.9449740014021264,0.3636102608213966,2.6922272735625806e-10,162.2796288621538,0.1335158505343635,1.499999999955631,3.017209278711609e-11,0.4492630962878583,0.1819194037214284,0.8783294276385941,7933685411.388571,0.1687174998639315,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C1,329.5673438300899,0.2424068405547679,34,0.0661249999999999,0.8044758660832357,9,D,44.911291989694966,43.61710773456778,0.9997206003445314,0.3636102183564149,0.3039769106911886,162.27961992224309,0.2767525091025872,1.4999998247750066,0.0640294072107397,0.3218979351089038,0.1856425653576489,0.9024977811400198,4.921000058288995,0.1411036689587976,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C10,334.55920414777364,0.2424068405547679,34,0.1005678593749999,0.9011800793087088,12,D,30.906837825801535,89.32469331800513,0.8796289252694054,0.3636102603274861,5.273218726542197e-10,162.2796366717899,0.1904541965934427,1.4999999979181042,2.6380393451843517e-11,2.235904267908993,0.828606618025253,0.8971965248346542,11658508666.281704,0.193145592777618,11,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
