log10 r,Unweighted B(r)
0.0,1.6973470263188133
0.05,
0.1,
0.15000000000000002,2.6881569928345344
0.2,
0.25,
0.30000000000000004,2.6609873281032903
0.35000000000000003,
0.4,
0.45,2.65497475393081
0.5,2.77728389928969
0.55,2.8686906333381113
0.6000000000000001,2.731389914720333
0.65,2.8200380151939406
0.7000000000000001,2.8746394894635143
0.75,2.816081866921667
0.8,2.878288775231361
0.8500000000000001,2.9444408011320315
0.9,2.9754166848535837
0.9500000000000001,3.025205297259882
1.0,3.1059744505590237
1.05,3.164526792526909
1.1,3.2026073493417613
1.1500000000000001,3.3290752263467547
1.2000000000000002,3.420922969982653
1.25,3.5282707375395077
1.3,3.6411742785999266
1.35,3.75978571820491
1.4000000000000001,3.875254323704785
1.4500000000000002,4.056126065888356
1.5,4.2427567655242715
1.55,4.432776328183898
1.6,4.665445621175202
1.6500000000000001,4.921221286906777
1.7000000000000002,5.1989596935647455
1.75,5.538248529238458
1.8,5.901495530929484
1.85,6.303583286634154
1.9000000000000001,6.760209948416308
1.9500000000000002,7.2642858154385195
2.0,7.805188966968151
2.0500000000000003,8.39637286067795
2.1,9.019427080172003
2.15,9.696657619078174
2.2,10.4424057643482
2.25,11.26638710856377
2.3000000000000003,12.140860524601882
2.35,13.04843677180619
2.4000000000000004,13.982244331920901
2.45,14.89777180340018
2.5,15.819766103104984
2.5500000000000003,16.63225169815016
2.6,17.34249876087133
2.6500000000000004,17.921508789388714
2.7,18.383129313060582
2.75,18.914366486685196
2.8000000000000003,19.4716467392982
2.85,19.44086967226384
2.9000000000000004,18.96031730487106
2.95,18.103522820795426
3.0,16.028741969270236
3.0500000000000003,13.989576933680656
3.1,12.062410203673068
3.1500000000000004,10.054565754685381
3.2,8.153036894118351
3.25,7.168517046058672
3.3000000000000003,5.902424795289653
